,Date,Open,High,Low,Close,Volume
0,2017-01-09,47.47034527191884,47.85705129329167,47.09152690937042,47.52558898925781,14593000
1,2017-01-10,47.50981420382858,48.022792112462845,47.312514313456006,47.53348922729492,13483300
2,2017-01-11,47.08365997350472,47.351988026074814,46.76008817574888,47.32041931152344,20737600
3,2017-01-12,46.98105249719219,47.20992110992534,46.37336842746501,46.744293212890625,22778900
4,2017-01-13,46.91791469331377,47.60451747120456,46.86267096466494,47.05997085571289,21045200
5,2017-01-17,46.57067619119067,46.81532919890127,45.79726079300129,46.073482513427734,25013800
6,2017-01-18,45.76568155317341,45.99454712626859,45.06329145052725,45.29216003417969,29276200
7,2017-01-19,45.40264812978275,45.4578918561991,44.50296114465107,44.71604537963867,24932400
8,2017-01-20,44.9449217077007,45.07908420623172,44.2188564474408,44.2819938659668,27722300
9,2017-01-23,44.28986979304209,44.424035257464624,43.737429607088984,43.942623138427734,23130200
10,2017-01-24,44.16360475656539,45.10275411935007,43.94262985264301,44.77918243408203,18416400
11,2017-01-25,45.69466106434293,45.710442408095325,45.06329893416795,45.528926849365234,21492900
12,2017-01-26,45.45789988764749,45.75779660586255,45.02384067030543,45.26849365234375,20792700
13,2017-01-27,45.29216097278255,45.307945324798496,44.763398727756034,45.07118606567383,17074200
14,2017-01-30,44.597664391300874,44.73182987771991,44.0057647401425,44.67658615112305,17537600
15,2017-01-31,44.45561589144803,44.952809482788844,43.86371617842149,44.06101608276367,29221000
16,2017-02-01,44.76339966608181,44.96859022547576,44.100471920302134,44.23463439941406,17441500
17,2017-02-02,43.918053094111414,44.48790141539662,43.71227210153337,44.30586624145508,15586800
18,2017-02-03,45.14481987485866,45.80964552308391,44.78866273845651,45.71466827392578,21404100
19,2017-02-06,45.516795634232345,46.18162116707802,45.3822490833732,45.619686126708984,15680200
20,2017-02-07,45.90461735797356,45.96001924083702,45.12107169877063,45.26353454589844,13996900
21,2017-02-08,45.04984443350284,45.04984443350284,44.43250738508358,44.57497024536133,18626600
22,2017-02-09,44.57496511340565,45.540545939858525,44.57496511340565,45.31893539428711,18054100
